"x","y","uniquesquirrelid","hectare","shift","date","hectaresquirrelnumber","age","primaryfurcolor","highlightfurcolor","combinationofcolors","colornotes","location","abovegroundsightermeasurement","specificlocation","running","chasing","climbing","eating","foraging","otheractivities","kuks","quaas","moans","tailflags","tailtwitches","approaches","indifferent","runsfrom","otherinteractions","latlon","zipcodes","communitydistricts","boroughboundaries","citycouncildistricts","policeprecincts"
"-73.9561345","40.7940824","37F-PM-1014-03","37F","PM",10142018,3,NULL,NULL,NULL,"+",NULL,NULL,NULL,NULL,False,False,False,False,False,NULL,False,False,False,False,False,False,False,False,NULL,"POINT (-73.9561344937861 40.7940823884086)",NULL,19,4,19,13
"-73.9688575","40.7837825","21B-AM-1019-04","21B","AM",10192018,4,NULL,NULL,NULL,"+",NULL,NULL,NULL,NULL,False,False,False,False,False,NULL,False,False,False,False,False,False,False,False,NULL,"POINT (-73.9688574691102 40.7837825208444)",NULL,19,4,19,13
"-73.9742811","40.7755336","11B-PM-1014-08","11B","PM",10142018,8,NULL,"Gray",NULL,"Gray+",NULL,"Above Ground","10",NULL,False,True,False,False,False,NULL,False,False,False,False,False,False,False,False,NULL,"POINT (-73.97428114848522 40.775533619083)",NULL,19,4,19,13
"-73.9596414","40.7903129","32E-PM-1017-14","32E","PM",10172018,14,"Adult","Gray",NULL,"Gray+","Nothing selected as Primary. Gray selected as Highlights. Made executive adjustments.",NULL,NULL,NULL,False,False,False,True,True,NULL,False,False,False,False,False,False,False,True,NULL,"POINT (-73.9596413903948 40.7903128889029)",NULL,19,4,19,13
"-73.9702676","40.7762127","13E-AM-1017-05","13E","AM",10172018,5,"Adult","Gray","Cinnamon","Gray+Cinnamon",NULL,"Above Ground",NULL,"on tree stump",False,False,False,False,True,NULL,False,False,False,False,False,False,False,False,NULL,"POINT (-73.9702676472613 40.7762126854894)",NULL,19,4,19,13
"-73.9683614","40.7725909","11H-AM-1010-03","11H","AM",10102018,3,"Adult","Cinnamon","White","Cinnamon+White",NULL,NULL,NULL,NULL,False,False,False,False,True,NULL,False,False,False,False,True,False,True,False,NULL,"POINT (-73.9683613516225 40.7725908847499)",NULL,19,4,19,13
"-73.9541202","40.7931812","36H-AM-1010-02","36H","AM",10102018,2,"Adult","Gray",NULL,"Gray+","just outside hectare","Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,False,False,False,False,NULL,"POINT (-73.9541201789795 40.7931811701082)",NULL,19,4,19,13
"-73.9582694","40.7917368","33F-AM-1008-02","33F","AM",10082018,2,"Adult","Gray",NULL,"Gray+",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.9582694312289 40.7917367820255)",NULL,19,4,19,13
"-73.9674286","40.7829724","21C-PM-1006-01","21C","PM",10062018,1,"Adult","Gray",NULL,"Gray+",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,False,NULL,False,False,False,True,True,False,False,False,NULL,"POINT (-73.9674285955293 40.7829723919744)",NULL,19,4,19,13
"-73.9722500","40.7742880","11D-AM-1010-03","11D","AM",10102018,3,"Adult","Gray","Cinnamon","Gray+Cinnamon",NULL,"Above Ground","30",NULL,False,False,True,False,False,"grooming",False,False,False,False,False,False,True,False,NULL,"POINT (-73.9722500196844 40.7742879599026)",NULL,19,4,19,13
